Galaxy,in_out,Gal_type,Image_source,Pec,Bar,Type,disk,Core,core?,distance(Mpc),Err_dist Mpc,z,mass_BH,neg_err_mass_BH,pos_err_mass_BH,Log_Mass_BH,Log_neg_err_Mbh,Log_pos_err_Mbh,Avg_Log_err_Mbh,Reference_Mbh,Method_Mbh,Mag_apar_sph,Mag_apar_tot,Gulias_sph_mag_Vega,Gulias_sph_mag_AB,Mag_abso_sph_New,Gulias_tot_mag_Vega,Gulias_tot_mag_AB,Mag_abso_tot_New,Mass_Sph_ML_0.8_0.7_3.8,Log_Mass_Sph_ML_0.8_0.7_3.8,Mass_Gal_ML_0.8_0.7_3.8,Log_Mass_Gal_ML_0.8_0.7_3.8,Log_Mgal_var_ML,Log_Msph_var_ML,Sph_mass_new,Log_Sph_mass_new,Gal_mass_new,Log_Gal_mass_new,Grade,Dist_err_%,Dist_err_quad,M/L_err_%,M/L_err_quad,Dec_err_mag,Dec_err_quad,Err_Log_mass_sph_quad,Dist_err_for_mbh,Err_Log_Mbh_dex,Err_log_mass_gal_dex,COMMENTS,M_bulge/M_gal,Mbh/Msph,Mbh/Mgal,Log_Mbh_Msph_Ratio,Err_Log_Mbh_Msph_Ratio,Log_Mbh_Mgal_Ratio,Err_Log_Mbh_Mgal_Ratio
NGC 1271,i,ETG,HST,-,nb,ES,S,no,,80,,0.017985776,3.00000E+09,1.10000E+09,1.00000E+09,9.47712E+00,1.98368E-01,1.24939E-01,1.61653E-01,Walsh et al. 2015,Stellar,,,,,,,,,9.00000E+10,1.09542E+01,1.14000E+11,1.10569E+01,1.10569E+01,1.09542E+01,9.00000E+10,1.09542E+01,1.14000E+11,1.10569E+01,Grade-1,,,,,,,0.098,0,1.61653E-01,1.20000E-01,,7.89474E-01,0.03333,0.02632,-1.47712E+00,1.89039E-01,-1.57978E+00,0.201325
n1277,o,ETG,HST,pec,nb,ES,S,no,,72.5,,0.01629961,1.20000E+09,3.00000E+08,3.00000E+08,9.07918E+00,1.24939E-01,9.69100E-02,1.10924E-01,Graham et al 2016,Stellar,,,,,,,,,2.69000E+11,1.14298E+01,3.00000E+11,1.14771E+01,1.14771E+01,1.14298E+01,2.69000E+11,1.14298E+01,3.00000E+11,1.14771E+01,Grade-1,7,0.060801227,15,0.065144172,0.11,0.044,0.099380845,0.030400614,1.15015E-01,1.20000E-01,,8.96667E-01,0.00446,0.00400,-2.35057E+00,1.52003E-01,-2.39794E+00,0.166217972
NGC 3665,i,ETG,SHA,-,nb,S0,S,no,,34.7,,0.00780133,5.75000E+08,1.18000E+08,1.49000E+08,8.75967E+00,9.97516E-02,1.00071E-01,9.99112E-02,Onishi et al.(2017),Gas,1.06157E+01,9.98943E+00,,,-2.21197E+01,,,-2.27460E+01,1.26172E+11,1.11010E+01,2.24639E+11,1.13515E+01,1.12992E+01,1.10486E+01,1.08148E+11,1.10340E+01,1.92548E+11,1.12845E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,1.04434E-01,1.20000E-01,,5.61666E-01,0.00456,0.00256,-2.27435E+00,2.76490E-01,-2.52487E+00,0.159079986
n4342,o,ETG,SHA,-,nb,ES/S0,S,no,,23,1,0.005170911,4.50000E+08,1.50000E+08,2.30000E+08,8.65321E+00,1.76091E-01,1.79296E-01,1.77694E-01,Graham & Scott (2013)-(Cretton & Van den Bosch 1999),Stellar,1.24554E+01,1.16353E+01,,,-1.93757E+01,,,-2.01957E+01,1.00778E+10,1.00034E+01,2.14475E+10,1.03314E+01,1.03119E+01,9.98386E+00,8.63807E+09,9.93642E+00,1.83836E+10,1.02644E+01,Grade-2,4.35,0.03778362,15,0.065144172,0.6,0.24,0.251537999,0.01889181,1.78695E-01,1.20000E-01,,4.69880E-01,0.04465,0.02098,-1.28320E+00,3.08550E-01,-1.61122E+00,0.215248687
NGC 4350,i,ETG,SHA,-,b,EBS,S,no,,16.8,,0.003777013,7.30000E+08,5.80000E+08,2.40000E+08,8.86332E+00,6.87232E-01,1.23449E-01,4.05340E-01,Ezio Pignatelli et al.(2001),Stellar?,1.09170E+01,1.02384E+01,,,-2.02259E+01,,,-2.09045E+01,2.20530E+10,1.03435E+01,4.12003E+10,1.06149E+01,1.05419E+01,1.02705E+01,1.89026E+10,1.02765E+01,3.53145E+10,1.05480E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,4.06479E-01,1.20000E-01,,5.35264E-01,0.03310,0.01772,-1.41320E+00,4.80381E-01,-1.68463E+00,0.423821785
NGC 4429,i,ETG,SHA,-,b,SB(r)0,S,no,,16.5,1.6,0.003709566,1.51000E+08,3.50000E+07,1.50000E+07,8.17898E+00,1.14519E-01,4.11311E-02,7.78250E-02,Timothy A. Davis et al.(2018),Gas,1.04149E+01,9.31432E+00,,,-2.06886E+01,,,-2.17892E+01,3.37709E+10,1.05285E+01,9.30615E+10,1.09688E+01,1.09393E+01,1.04991E+01,2.89465E+10,1.04616E+01,7.97670E+10,1.09018E+01,Grade-2,9.7,0.084253129,15,0.065144172,0.6,0.24,0.262568759,0.042126565,8.84951E-02,1.20000E-01,,3.62889E-01,0.00447,0.00162,-2.28262E+00,2.77081E-01,-2.72285E+00,0.149101931
NGC 4742,i,ETG,SHA,-,nb,S0,S,no,,15.5,1.15,0.003484744,1.41000E+07,6.18000E+06,3.58000E+06,7.14922E+00,2.50494E-01,9.82631E-02,1.74379E-01,Sabra et al. (2015)-(Kaiser et al. 2002 not found),Stellar,1.17602E+01,1.10455E+01,,,-1.92065E+01,,,-1.99212E+01,8.62408E+09,9.93571E+00,1.66568E+10,1.02216E+01,1.00460E+01,9.76012E+00,7.39207E+09,9.86877E+00,1.42773E+10,1.01546E+01,Grade-2,7.4,0.064275583,15,0.065144172,0.6,0.24,0.256856212,0.032137792,1.77315E-01,1.20000E-01,,5.17750E-01,0.00163,0.00085,-2.71955E+00,3.12115E-01,-3.00543E+00,0.214104443
NGC 5252,i,ETG,SHA,-,nb,S0,S,no,,96.8,,0.021762789,1.00000E+09,6.91000E+08,9.21000E+08,9.00000E+00,5.10042E-01,2.83527E-01,3.96784E-01,Sabra et al. (2015)-(Capetti et al.2005),Gas,1.33520E+01,1.20249E+01,,,-2.16709E+01,,,-2.29980E+01,8.34524E+10,1.09214E+01,2.83339E+11,1.14523E+01,1.14433E+01,1.09124E+01,7.15306E+10,1.08545E+01,2.42862E+11,1.13854E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,3.97947E-01,1.20000E-01,,2.94532E-01,0.01198,0.00353,-1.85449E+00,4.73184E-01,-2.38536E+00,0.415646594
NGC 7332,i,ETG,SHA,pec,b,SB0(pec),S,no,,24.89,,0.005595825,1.29000E+07,4.94000E+06,7.07000E+06,7.11059E+00,2.09677E-01,1.89788E-01,1.99732E-01,Batcheldor et al. 2013 -(k.Gebhardt 2003 private comm.),Stellar,1.19222E+01,1.03745E+01,,,-2.00821E+01,,,-2.16298E+01,1.93172E+10,1.02859E+01,8.03588E+10,1.09050E+01,1.08174E+01,1.01983E+01,1.65576E+10,1.02190E+01,6.88790E+10,1.08381E+01,Grade-3,10,0.086858896,15,0.065144172,0.8,0.32,0.337917492,0.043429448,2.04400E-01,1.20000E-01,,2.40387E-01,0.00067,0.00016,-3.10841E+00,3.94927E-01,-3.72750E+00,0.237021493
NGC 7457,i,ETG,SHA,-,nb,S0,S,no,,14,,0.003147511,1.00000E+07,6.00000E+06,6.00000E+06,7.00000E+00,3.97940E-01,2.04120E-01,3.01030E-01,"Schulze & Gebhardt (2011,ApJ,729,21)",Stellar,1.27039E+01,1.07423E+01,,,-1.80404E+01,,,-2.00020E+01,2.94608E+09,9.46924E+00,1.79435E+10,1.02539E+01,1.01177E+01,9.33302E+00,2.52521E+09,9.40230E+00,1.53801E+10,1.01870E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,3.02561E-01,1.20000E-01,,1.64186E-01,0.00339,0.00056,-2.40230E+00,3.96338E-01,-3.18696E+00,0.325489256
NGC 4339,i,ETG,SHA,-,nb,S0,S,no,,16,1.33,0.003597155,4.30000E+07,2.30000E+07,4.80000E+07,7.63347E+00,3.32438E-01,3.25573E-01,3.29006E-01,D. Krajnovic ́ et al. (2018),Stellar,1.23197E+01,1.10784E+01,,,-1.87165E+01,,,-1.99578E+01,5.49159E+09,9.73970E+00,1.72277E+10,1.02362E+01,1.00570E+01,9.56043E+00,4.70708E+09,9.67275E+00,1.47666E+10,1.01693E+01,Grade-2,8.31,0.072179743,15,0.065144172,0.6,0.24,0.25894725,0.036089871,3.30979E-01,1.20000E-01,,3.18764E-01,0.00783,0.00250,-2.03928E+00,4.20239E-01,-2.53581E+00,0.352061399
NGC 4578,i,ETG,SHA,-,nb,S0( r),S,no,,16.3,0.45,0.003664602,1.90000E+07,1.40000E+07,6.00000E+06,7.27875E+00,5.79784E-01,1.19186E-01,3.49485E-01,D. Krajnovic ́ et al. (2018),Stellar,1.21048E+01,1.09730E+01,,,-1.89720E+01,,,-2.01038E+01,6.94893E+09,9.84192E+00,1.97076E+10,1.02946E+01,1.01789E+01,9.72621E+00,5.95622E+09,9.77497E+00,1.68922E+10,1.02277E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,3.50805E-01,1.20000E-01,,3.52602E-01,0.00273,0.00096,-2.49622E+00,4.34286E-01,-2.94893E+00,0.37076133
NGC 4434,i,ETG,S4G,-,nb,S0,S,no,,22.4,0.61,0.005036017,7.00000E+07,2.80000E+07,2.00000E+07,7.84510E+00,2.21849E-01,1.09144E-01,1.65497E-01,D. Krajnovic ́ et al. (2018),Stellar,1.24512E+01,1.17757E+01,,,-1.93218E+01,,,-1.99973E+01,9.59030E+09,9.98183E+00,1.78664E+10,1.02520E+01,1.00972E+01,9.82697E+00,8.22025E+09,9.91489E+00,1.53140E+10,1.01851E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,1.68266E-01,1.20000E-01,,5.36779E-01,0.00730,0.00392,-2.06979E+00,3.06356E-01,-2.33999E+00,0.206672023
NGC 4762,i,ETG,S4G,-,b,SB0,S,no,,22.6,,0.005080982,2.30000E+07,6.00000E+06,9.00000E+06,7.36173E+00,1.31279E-01,1.43422E-01,1.37351E-01,D. Krajnovic ́ et al. (2018),Stellar,1.23393E+01,9.60607E+00,,,-1.94532E+01,,,-2.21865E+01,1.08242E+10,1.00344E+01,1.34181E+11,1.11277E+01,1.10043E+01,9.91097E+00,9.27793E+09,9.96745E+00,1.15012E+11,1.10607E+01,Grade-2,15,0.130288345,15,0.065144172,0.6,0.24,0.280746889,0.065144172,1.52016E-01,1.20000E-01,,8.06689E-02,0.00212,0.00017,-2.60572E+00,3.19261E-01,-3.69902E+00,0.193672225
NGC 1407,i,ETG,SHA,-,nb,E,E,yes,,28.05,3.37,0.006306263,4.50000E+09,4.00000E+08,9.00000E+08,9.65321E+00,4.04287E-02,7.91812E-02,5.98050E-02,Rusli et al. (2013),Stellar,9.07481E+00,8.92939E+00,,,-2.31922E+01,,,-2.33376E+01,3.38812E+11,1.15300E+01,3.87372E+11,1.15881E+01,1.15235E+01,1.14653E+01,2.90410E+11,1.14630E+01,3.32034E+11,1.15212E+01,Grade-2,12.01,0.104317535,15,0.065144172,0.6,0.24,0.269677421,0.052158767,7.93547E-02,1.20000E-01,,8.74641E-01,0.01328,0.01162,-1.80980E+00,2.81110E-01,-1.86797E+00,0.143865108
NGC 1600,i,ETG,SHA,-,nb,E3,E,yes,,64,,0.014388621,1.70000E+10,1.50000E+09,1.50000E+09,1.02304E+01,4.01172E-02,3.67228E-02,3.84200E-02,Jens Thomas et al. (2016),Stellar,1.00045E+01,1.00045E+01,,,-2.40885E+01,,,-2.40885E+01,7.73537E+11,1.18885E+01,7.73537E+11,1.18885E+01,1.18058E+01,1.18058E+01,6.63032E+11,1.18215E+01,6.63032E+11,1.18215E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,4.89928E-02,1.20000E-01,,1.00000E+00,0.02198,0.02198,-1.59109E+00,1.29386E-01,-1.59109E+00,0.129615951
NGC 3923,i,ETG,SHA,-,nb,E4,E,yes,,20.88,2.7,0.004694288,2.81000E+09,6.54000E+08,8.53000E+08,9.44871E+00,1.15058E-01,1.15131E-01,1.15094E-01,Saglia et al.(2016)-(not found),Stellar?,8.59615E+00,8.59615E+00,,,-2.30228E+01,,,-2.30228E+01,2.89892E+11,1.14622E+01,2.89892E+11,1.14622E+01,1.14590E+01,1.14590E+01,2.48479E+11,1.13953E+01,2.48479E+11,1.13953E+01,Grade-1,12.93,0.112308553,15,0.065144172,0.2,0.08,0.152502375,0.056154277,1.28062E-01,1.20000E-01,,1.00000E+00,0.00969,0.00969,-1.94658E+00,1.99140E-01,-1.94658E+00,0.175499146
NGC 4552,i,ETG,SHA,-,nb,E,E,no,,14.9,0.95,0.003349851,4.70000E+08,5.00000E+07,5.00000E+07,8.67210E+00,4.88486E-02,4.39055E-02,4.63770E-02,"Graham & Scott-(Hu, Jian (2008))",Stellar,9.13367E+00,8.95855E+00,,,-2.17468E+01,,,-2.19219E+01,8.94977E+10,1.09518E+01,1.05162E+11,1.10219E+01,1.09346E+01,1.08646E+01,7.67123E+10,1.08849E+01,9.01390E+10,1.09549E+01,Grade-2,6.38,0.055415976,15,0.065144172,0.6,0.24,0.254783621,0.027707988,5.40237E-02,1.20000E-01,,8.51045E-01,0.00525,0.00447,-2.21277E+00,2.60448E-01,-2.28281E+00,0.131600005
NGC 4649,i,ETG,SHA,-,nb,E2,E,yes,,16.4,1.1,0.003687084,4.70000E+09,1.00000E+09,1.00000E+09,9.67210E+00,1.03896E-01,8.37770E-02,9.38366E-02,Graham & Scott-(Shen & Gebhardt (2010)),Stellar,7.94894E+00,7.94894E+00,,,-2.31413E+01,,,-2.31413E+01,3.23299E+11,1.15096E+01,3.23299E+11,1.15096E+01,1.14577E+01,1.14577E+01,2.77114E+11,1.14427E+01,2.77114E+11,1.14427E+01,Grade-1,6.7,0.058195461,15,0.065144172,0.2,0.08,0.118450305,0.02909773,9.82445E-02,1.20000E-01,,1.00000E+00,0.01454,0.01454,-1.77056E+00,1.53891E-01,-1.77056E+00,0.155087005
NGC 5813,i,ETG,SHA,-,nb,S0,S,yes,,31.3,2.6,0.007036935,6.80000E+08,7.00000E+07,7.00000E+07,8.83251E+00,4.71791E-02,4.25524E-02,4.48657E-02,"Graham & Scott-(Hu, Jian (2008))",Stellar,1.08261E+01,9.88622E+00,,,-2.16821E+01,,,-2.26220E+01,8.43184E+10,1.09259E+01,2.00393E+11,1.13019E+01,1.12388E+01,1.08629E+01,7.22730E+10,1.08590E+01,1.71765E+11,1.12349E+01,Grade-2,8.31,0.072179743,15,0.065144172,0.6,0.24,0.25894725,0.036089871,5.75796E-02,1.20000E-01,,4.20766E-01,0.00806,0.00339,-2.02647E+00,2.65272E-01,-2.40243E+00,0.133099253
NGC 6086,i,ETG,Sloan,-,nb,E,S,yes,,138,,0.031025464,3.70000E+09,1.10000E+09,1.80000E+09,9.56820E+00,1.53228E-01,1.72161E-01,1.62695E-01,Graham & Scott 2013-(McConnell et al. 2011),Stellar,1.28909E+01,1.24617E+01,,,-2.30282E+01,,,-2.34574E+01,4.47767E+11,1.16511E+01,6.64855E+11,1.18227E+01,1.16901E+01,1.15184E+01,3.29933E+11,1.15184E+01,3.29933E+11,1.15184E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,1.65511E-01,1.20000E-01,Used stellar mass derived from corrected Ks band mag to get R-band M/L,6.73480E-01,0.00826,0.00557,-1.95022E+00,3.04851E-01,-1.95022E+00,0.204435205
NGC 0307,i,ETG,Sloan,-,b,SAB0,S,no,,52.8,,0.011870612,2.20000E+08,6.00000E+07,6.00000E+07,8.34242E+00,1.38303E-01,1.04735E-01,1.21519E-01,P.Erwin et al. (2018),Stellar,1.34563E+01,1.26224E+01,,,-2.03061E+01,,,-2.11401E+01,3.64953E+10,1.05622E+01,7.86698E+10,1.08958E+01,1.07632E+01,1.04296E+01,2.68913E+10,1.04296E+01,5.79672E+10,1.07632E+01,Grade-3,7,0.060801227,15,0.065144172,0.8,0.32,0.332175484,0.030400614,1.25264E-01,1.20000E-01,Used stellar mass derived from corrected Ks band mag to get R-band M/L,4.63905E-01,0.00603,0.00280,-2.08719E+00,3.55009E-01,-2.42076E+00,0.17346778
n4486B,o,ETG,Sloan,-,nb,E1,E,no,,15.3,,0.00343978,5.70000E+08,2.69000E+08,3.22000E+08,8.75587E+00,2.77308E-01,1.94490E-01,2.35899E-01,Sabra et al.(2015)-(Kormendy et al. 1996),Stellar,1.30922E+01,1.30922E+01,,,-1.78952E+01,,,-1.78952E+01,3.96160E+09,9.59787E+00,3.96160E+09,9.59787E+00,9.46524E+00,9.46524E+00,2.91907E+09,9.46524E+00,2.91907E+09,9.46524E+00,Grade-3,2.08,0.01806665,15,0.065144172,0.8,0.32,0.32706294,0.009033325,2.36072E-01,1.20000E-01,Used stellar mass derived from corrected Ks band mag to get R-band M/L,1.00000E+00,0.14388,0.14388,-7.09370E-01,4.03361E-01,-7.09370E-01,0.264820739
NGC 5516,i,ETG,2MASS,-,nb,E1-2,E,yes,yes?,58.44,,0.013138609,3.30000E+09,3.00000E+08,5.00000E+08,9.51851E+00,4.13927E-02,6.12697E-02,5.13312E-02,Rusli et al. (2013),Stellar,9.97926E+00,9.97926E+00,,,-2.39110E+01,,,-2.39110E+01,3.15851E+11,1.14995E+01,3.15851E+11,1.14995E+01,1.15936E+01,1.15936E+01,2.76370E+11,1.14415E+01,2.76370E+11,1.14415E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,5.96581E-02,1.20000E-01,Modified_Zr pt,1.00000E+00,0.01045,0.01045,-1.92298E+00,1.33790E-01,-1.92298E+00,0.134011516
A1836BCG,i,ETG,2MASS,-,nb,E1-2,E,yes,,158,,0.035521908,3.90000E+09,5.00000E+08,4.00000E+08,9.59106E+00,5.95857E-02,4.24038E-02,5.09948E-02,Graham & Scott 2013-(Dalla Bonta el al. 2009),Stellar,1.15841E+01,1.15841E+01,,,-2.45608E+01,,,-2.45608E+01,5.74654E+11,1.17594E+01,5.74654E+11,1.17594E+01,1.18346E+01,1.18346E+01,5.02822E+11,1.17014E+01,5.02822E+11,1.17014E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,5.93689E-02,1.20000E-01,Not sure if it is core and Modified Zr pt,1.00000E+00,0.00679,0.00679,-2.11035E+00,1.33661E-01,-2.11035E+00,0.133883023
NGC 1550,i,ETG,2MASS,-,nb,E1,E,yes,,51.57,,0.011594081,3.70000E+09,4.00000E+08,4.00000E+08,9.56820E+00,4.96878E-02,4.45821E-02,4.71350E-02,Rusli et al. (2013),Stellar,1.04732E+01,1.04732E+01,,,-2.31389E+01,,,-2.31389E+01,1.55110E+11,1.11906E+01,1.55110E+11,1.11906E+01,1.12603E+01,1.12603E+01,1.35721E+11,1.11326E+01,1.35721E+11,1.11326E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,5.60883E-02,1.20000E-01,2MASS Redone and Modified Zr pt,1.00000E+00,0.02385,0.02385,-1.56445E+00,1.32236E-01,-1.56445E+00,0.132460944
NGC 4751,i,ETG,2MASS,-,nb,S0,S,yes,yes?,26.92,,0.006052214,1.40000E+09,1.00000E+08,2.00000E+08,9.14613E+00,3.21847E-02,5.79919E-02,4.50883E-02,Rusli et al. (2013),Stellar,1.06442E+01,1.00677E+01,,,-2.15324E+01,,,-2.21088E+01,3.53232E+10,1.05481E+01,6.00658E+10,1.07786E+01,1.08606E+01,1.06300E+01,3.09078E+10,1.04901E+01,5.25575E+10,1.07206E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,5.43797E-02,1.20000E-01,Modified_Zr pt & doubt about Core,5.88076E-01,0.03963,0.02331,-1.34394E+00,2.61721E-01,-1.57451E+00,0.13174655
NGC 5328,i,ETG,2MASS,-,nb,E1,E,yes,,64.1,,0.014411103,4.70000E+09,1.90000E+09,9.00000E+08,9.67210E+00,2.24940E-01,7.60902E-02,1.50515E-01,Rusli et al. (2013),Stellar,1.00637E+01,1.00637E+01,,,-2.40327E+01,,,-2.40327E+01,3.53322E+11,1.15482E+01,3.53322E+11,1.15482E+01,1.15560E+01,1.15560E+01,3.09156E+11,1.14902E+01,3.09156E+11,1.14902E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,1.53554E-01,1.20000E-01,Modified_Zr pt,1.00000E+00,0.01330,0.01330,-1.81808E+00,1.94729E-01,-1.81808E+00,0.194881918
n5845,i,ETG,SHA,-,nb,ES,S,no,no,25.2,,0.005665519,2.60000E+08,1.50000E+08,4.00000E+07,8.41497E+00,3.73581E-01,6.21479E-02,2.17864E-01,-,-,1.21978E+01,1.17091E+01,,,-1.98338E+01,,,-2.03225E+01,1.53678E+10,1.01866E+01,2.41038E+10,1.03821E+01,1.03643E+01,1.01688E+01,1.31724E+10,1.01197E+01,2.06604E+10,1.03151E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,2.19975E-01,1.20000E-01,,6.37566E-01,0.01692,0.01079,-1.70469E+00,3.37535E-01,-1.90017E+00,0.250577421
n7052,i,ETG,SHA,-,nb,E4,E,yes,yes,66.4,,0.014928194,3.70000E+08,1.50000E+08,2.60000E+08,8.56820E+00,2.25779E-01,2.31139E-01,2.28459E-01,-,-,1.09834E+01,1.09834E+01,,,-2.31918E+01,,,-2.31918E+01,3.38696E+11,1.15298E+01,3.38696E+11,1.15298E+01,1.16529E+01,1.16529E+01,2.90311E+11,1.14629E+01,2.90311E+11,1.14629E+01,Grade-1,7,0.060801227,15,0.065144172,0.2,0.08,0.119752046,0.030400614,2.30473E-01,1.20000E-01,,1.00000E+00,0.00109,0.00109,-2.89466E+00,2.59727E-01,-2.89466E+00,0.259841648
n2787,o,ETG,S4G,-,b,SB0(r),S,no,no,7.3,,0.001641202,4.00000E+07,5.00000E+06,4.00000E+06,7.60206E+00,5.79919E-02,4.13927E-02,4.96923E-02,-,-,1.19746E+01,9.81241E+00,,,-1.73491E+01,,,-1.95113E+01,1.55865E+09,9.19275E+00,1.14191E+10,1.00576E+01,1.00651E+01,9.20023E+00,1.33599E+09,9.12580E+00,9.78776E+09,9.99068E+00,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,5.82540E-02,1.20000E-01,,1.36496E-01,0.02566,0.00350,-1.52374E+00,2.62553E-01,-2.38862E+00,0.133392367
n0524,i,ETG,SHA,-,nb,SA0(rs),S,yes,yes,23.3,,0.005238357,8.30000E+08,1.30000E+08,2.70000E+08,8.91908E+00,7.39801E-02,1.22315E-01,9.81473E-02,-,-,1.08924E+01,9.64888E+00,,,-2.09671E+01,,,-2.22106E+01,4.36454E+10,1.06399E+01,1.37194E+11,1.11373E+01,1.10713E+01,1.05739E+01,3.74104E+10,1.05730E+01,1.17594E+11,1.10704E+01,Grade-2,7,0.060801227,15,0.065144172,0.6,0.24,0.256008891,0.030400614,1.02748E-01,1.20000E-01,Giulia called it grade 1,3.18130E-01,0.01902,0.00605,-1.65391E+00,2.75858E-01,-2.15131E+00,0.157978145
