Galaxy,in_out,Gal_type,Image_source,Pec,Bar,Type,disk,Core,core?,distance(Mpc),Err_dist Mpc,z,mass_BH,neg_err_mass_BH,pos_err_mass_BH,Log_Mass_BH,Log_neg_err_Mbh,Log_pos_err_Mbh,Avg_Log_err_Mbh,Reference_Mbh,Method_Mbh,Mag_apar_sph,Mag_apar_tot,Gulias_sph_mag_Vega,Gulias_sph_mag_AB,Mag_abso_sph_New,Gulias_tot_mag_Vega,Gulias_tot_mag_AB,Mag_abso_tot_New,Mass_Sph_ML_0.8_0.7_3.8,Log_Mass_Sph_ML_0.8_0.7_3.8,Mass_Gal_ML_0.8_0.7_3.8,Log_Mass_Gal_ML_0.8_0.7_3.8,Log_Mgal_var_ML,Log_Msph_var_ML,Sph_mass_new,Log_Sph_mass_new,Gal_mass_new,Log_Gal_mass_new,Grade,Dist_err_%,Dist_err_quad,M/L_err_%,M/L_err_quad,Dec_err_mag,Dec_err_quad,Err_Log_mass_sph_quad,Dist_err_for_mbh,Err_Log_Mbh_dex,Err_log_mass_gal_dex,COMMENTS,M_bulge/M_gal,Mbh/Msph,Mbh/Mgal,Log_Mbh_Msph_Ratio,Err_Log_Mbh_Msph_Ratio,Log_Mbh_Mgal_Ratio,Err_Log_Mbh_Mgal_Ratio
NGC 4594,i,LTG,,,,,,,,,,,,,,8.80832E+00,,,,,,,,,,,,,,,,,,,,,1.08085E+01,,1.10300E+01,,,,,,,,0.198033104,,3.30887E-02,1.39317E-01,,,,,-2.00021E+00,2.00778E-01,-2.22173E+00,0.143192824
NGC 4699,i,LTG,,,,,,,,,,,,,,8.34353E+00,,,,,,,,,,,,,,,,,,,,,1.11186E+01,,1.12859E+01,,,,,,,,0.261678963,,1.02074E-01,2.25955E-01,,,,,-2.77509E+00,2.80882E-01,-2.94232E+00,0.247941081
NGC 4736,i,LTG,,,,,,,,,,,,,,6.77862E+00,,,,,,,,,,,,,,,,,,,,,9.88712E+00,,1.03681E+01,,,,,,,,0.088413544,,1.02274E-01,7.77128E-02,,,,,-3.10849E+00,1.35192E-01,-3.58946E+00,0.128449572
NGC 4826,i,LTG,,,,,,,,,,,,,,6.07134E+00,,,,,,,,,,,,,,,,,,,,,9.54708E+00,,1.04113E+01,,,,,,,,0.218070585,,1.50294E-01,2.12417E-01,,,,,-3.47574E+00,2.64845E-01,-4.33998E+00,0.260209657
NGC 4945,i,LTG,,,,,,,,,,,,,,6.14847E+00,,,,,,,,,,,,,,,,,,,,,9.38729E+00,,1.05151E+01,,,,,,,,0.194656347,,3.01846E-01,8.72745E-02,,,,,-3.23882E+00,3.59169E-01,-4.36663E+00,0.314209996
NGC 5055,i,LTG,,,,,,,,,,,,,,8.93838E+00,,,,,,,,,,,,,,,,,,,,,1.04887E+01,,1.08057E+01,,,,,,,,0.110156584,,9.99876E-02,9.63908E-02,,,,,-1.55035E+00,1.48768E-01,-1.86732E+00,0.138883811
NGC 5495,i,LTG,,,,,,,,,,,,,,7.04483E+00,,,,,,,,,,,,,,,,,,,,,1.05403E+01,,1.13127E+01,,,,,,,,0.118947962,,8.39985E-02,9.68930E-02,,,,,-3.49542E+00,1.45617E-01,-4.26786E+00,0.1282342
NGC 5765b,i,LTG,,,,,,,,,,,,,,7.71658E+00,,,,,,,,,,,,,,,,,,,,,1.00380E+01,,1.11109E+01,,,,,,,,0.130091962,,4.78952E-02,1.20419E-01,,,,,-2.32143E+00,1.38629E-01,-3.39431E+00,0.129593982
NGC 6264,i,LTG,,,,,,,,,,,,,,7.50699E+00,,,,,,,,,,,,,,,,,,,,,1.00066E+01,,1.10619E+01,,,,,,,,0.154579694,,5.60619E-02,1.42160E-01,,,,,-2.49966E+00,1.64432E-01,-3.55496E+00,0.152815353
NGC 6323,i,LTG,,,,,,,,,,,,,,7.01556E+00,,,,,,,,,,,,,,,,,,,,,9.86429E+00,,1.10424E+01,,,,,,,,0.314036919,,1.35039E-01,2.83558E-01,,,,,-2.84873E+00,3.41840E-01,-4.02682E+00,0.314071224
NGC 7582,i,LTG,,,,,,,,,,,,,,7.67400E+00,,,,,,,,,,,,,,,,,,,,,1.01530E+01,,1.07731E+01,,,,,,,,0.198220178,,8.96173E-02,1.07238E-01,,,,,-2.47901E+00,2.17537E-01,-3.09911E+00,0.139754498
UGC 3789,i,LTG,,,,,,,,,,,,,,7.05546E+00,,,,,,,,,,,,,,,,,,,,,1.01779E+01,,1.07369E+01,,,,,,,,0.138699163,,5.12178E-02,1.30431E-01,,,,,-3.12244E+00,1.47854E-01,-3.68148E+00,0.140126625
UGC 6093,i,LTG,,,,,,,,,,,,,,7.41481E+00,,,,,,,,,,,,,,,,,,,,,1.03511E+01,,1.12586E+01,,,,,,,,0.135076737,,3.49930E-02,1.14968E-01,,,,,-2.93629E+00,1.39536E-01,-3.84375E+00,0.120175782
LEDA 87300,o,LTG,,,,,,,,,,,,,,4.48000E+00,,,,,,,,,,,,,,,,,,,,,8.15000E+00,,9.39000E+00,,,,,,,,0.3,,6.00000E-01,3.00000E-01,,,,,-3.67000E+00,6.70820E-01,-4.91000E+00,0.670820393
